Position,Number,Name,Height,Weight,DOB,From,Team,Division,Conference
F,3,"West, David",6 ft 9 in (2.06 m),250 lb (113 kg),1980-08-29,Xavier,Golden State Warriors,Pacific,Western
G/F,9,"Anderson, Alan",6 ft 6 in (1.98 m),220 lb (100 kg),1982-10-06,Michigan State,Los Angeles Clippers,Pacific,Western
F,30,"Bass, Brandon",6 ft 8 in (2.03 m),250 lb (113 kg),1985-04-30,LSU,Los Angeles Clippers,Pacific,Western
G,11,"Crawford, Jamal",6 ft 5 in (1.96 m),195 lb (88 kg),1980-03-20,Michigan,Los Angeles Clippers,Pacific,Western
G,2,"Felton, Raymond",6 ft 1 in (1.85 m),205 lb (93 kg),1984-06-26,North Carolina,Los Angeles Clippers,Pacific,Western
F,32,"Griffin, Blake (C)",6 ft 10 in (2.08 m),251 lb (114 kg),1989-03-16,Oklahoma,Los Angeles Clippers,Pacific,Western
F,10,"Johnson, Brice",6 ft 10 in (2.08 m),230 lb (104 kg),1994-06-27,North Carolina,Los Angeles Clippers,Pacific,Western
G/F,33,"Johnson, Wesley",6 ft 7 in (2.01 m),215 lb (98 kg),1987-07-11,Syracuse,Los Angeles Clippers,Pacific,Western
C,6,"Jordan, DeAndre",6 ft 11 in (2.11 m),265 lb (120 kg),1988-07-21,Texas A&M,Los Angeles Clippers,Pacific,Western
F,12,"Mbah a Moute, Luc",6 ft 8 in (2.03 m),230 lb (104 kg),1986-09-09,UCLA,Los Angeles Clippers,Pacific,Western
G,3,"Paul, Chris  (C)",6 ft 0 in (1.83 m),175 lb (79 kg),1985-05-06,Wake Forest,Los Angeles Clippers,Pacific,Western
F,34,"Pierce, Paul",6 ft 7 in (2.01 m),235 lb (107 kg),1977-10-13,Kansas,Los Angeles Clippers,Pacific,Western
G,4,"Redick, J. J.",6 ft 4 in (1.93 m),190 lb (86 kg),1984-06-24,Duke,Los Angeles Clippers,Pacific,Western
G,25,"Rivers, Austin",6 ft 4 in (1.93 m),200 lb (91 kg),1992-08-01,Duke,Los Angeles Clippers,Pacific,Western
F/C,5,"Speights, Marreese",6 ft 10 in (2.08 m),255 lb (116 kg),1987-08-04,Florida,Los Angeles Clippers,Pacific,Western
C,0,"Stone, Diamond (DL)",6 ft 11 in (2.11 m),255 lb (116 kg),1997-02-10,Maryland,Los Angeles Clippers,Pacific,Western
F/C,28,"Black, Tarik",6 ft 9 in (2.06 m),250 lb (113 kg),1991-11-22,Kansas,Los Angeles Lakers,Pacific,Western
G,5,"Calderón, José",6 ft 3 in (1.91 m),200 lb (91 kg),1981-09-28,Spain,Los Angeles Lakers,Pacific,Western
G,6,"Clarkson, Jordan (C)",6 ft 5 in (1.96 m),194 lb (88 kg),1992-06-07,Missouri,Los Angeles Lakers,Pacific,Western
F,9,"Deng, Luol",6 ft 9 in (2.06 m),220 lb (100 kg),1985-03-16,Duke,Los Angeles Lakers,Pacific,Western
G,4,"Huertas, Marcelo",6 ft 3 in (1.91 m),200 lb (91 kg),1983-05-25,Coppell HS (TX),Los Angeles Lakers,Pacific,Western
F,14,"Ingram, Brandon",6 ft 9 in (2.06 m),190 lb (86 kg),1997-09-02,Duke,Los Angeles Lakers,Pacific,Western
C,20,"Mozgov, Timofey",7 ft 1 in (2.16 m),275 lb (125 kg),1986-07-16,Russia,Los Angeles Lakers,Pacific,Western
F,7,"Nance, Larry",6 ft 9 in (2.06 m),230 lb (104 kg),1993-01-01,Wyoming,Los Angeles Lakers,Pacific,Western
F,30,"Randle, Julius",6 ft 9 in (2.06 m),250 lb (113 kg),1994-11-29,Kentucky,Los Angeles Lakers,Pacific,Western
F,15,"Robinson, Thomas",6 ft 10 in (2.08 m),237 lb (108 kg),1991-03-17,Kansas,Los Angeles Lakers,Pacific,Western
G,1,"Russell, D'Angelo (C)",6 ft 5 in (1.96 m),195 lb (88 kg),1996-02-23,Ohio State,Los Angeles Lakers,Pacific,Western
G,23,"Williams, Lou",6 ft 1 in (1.85 m),175 lb (79 kg),1986-10-27,South Gwinnett HS (GA),Los Angeles Lakers,Pacific,Western
F,37,"World Peace, Metta",6 ft 7 in (2.01 m),260 lb (118 kg),1979-11-13,St. John's,Los Angeles Lakers,Pacific,Western
G/F,0,"Young, Nick",6 ft 7 in (2.01 m),210 lb (95 kg),1985-06-01,Southern California,Los Angeles Lakers,Pacific,Western
C,40,"Zubac, Ivica",7 ft 1 in (2.16 m),240 lb (109 kg),1997-03-18,Croatia,Los Angeles Lakers,Pacific,Western
G,19,"Barbosa, Leandro",6 ft 3 in (1.91 m),194 lb (88 kg),1982-11-28,Brazil,Phoenix Suns,Pacific,Western
F/C,35,"Bender, Dragan",7 ft 1 in (2.16 m),225 lb (102 kg),1997-11-17,Croatia,Phoenix Suns,Pacific,Western
G,2,"Bledsoe, Eric (C)",6 ft 1 in (1.85 m),205 lb (93 kg),1989-12-09,Kentucky,Phoenix Suns,Pacific,Western
G,1,"Booker, Devin (C)",6 ft 6 in (1.98 m),206 lb (93 kg),1996-10-30,Kentucky,Phoenix Suns,Pacific,Western
C,4,"Chandler, Tyson",7 ft 1 in (2.16 m),240 lb (109 kg),1982-10-02,Manuel Dominguez HS (CA),Phoenix Suns,Pacific,Western
F,0,"Chriss, Marquese",6 ft 10 in (2.08 m),233 lb (106 kg),1997-07-02,Washington,Phoenix Suns,Pacific,Western
G/F,3,"Dudley, Jared",6 ft 7 in (2.01 m),225 lb (102 kg),1985-07-10,Boston College,Phoenix Suns,Pacific,Western
F,10,"Jones, Derrick",6 ft 7 in (2.01 m),190 lb (86 kg),1997-02-15,UNLV,Phoenix Suns,Pacific,Western
G,11,"Knight, Brandon",6 ft 3 in (1.91 m),195 lb (88 kg),1991-12-02,Kentucky,Phoenix Suns,Pacific,Western
C,21,"Len, Alex",7 ft 1 in (2.16 m),260 lb (118 kg),1993-06-16,Maryland,Phoenix Suns,Pacific,Western
G,14,"Price, Ronnie",6 ft 2 in (1.88 m),190 lb (86 kg),1983-06-21,Utah Valley State,Phoenix Suns,Pacific,Western
G/F,17,"Tucker, P. J.",6 ft 6 in (1.98 m),245 lb (111 kg),1985-05-05,Texas,Phoenix Suns,Pacific,Western
G,8,"Ulis, Tyler",5 ft 10 in (1.78 m),150 lb (68 kg),1996-01-05,Kentucky,Phoenix Suns,Pacific,Western
F,12,"Warren, T. J.",6 ft 8 in (2.03 m),225 lb (102 kg),1993-09-05,North Carolina State,Phoenix Suns,Pacific,Western
F/C,15,"Williams, Alan",6 ft 8 in (2.03 m),260 lb (118 kg),1993-01-28,UC Santa Barbara,Phoenix Suns,Pacific,Western
G/F,40,"Afflalo, Arron",6 ft 5 in (1.96 m),210 lb (95 kg),1985-10-15,UCLA,Sacramento Kings,Pacific,Western
F,22,"Barnes, Matt",6 ft 7 in (2.01 m),226 lb (103 kg),1980-03-09,UCLA,Sacramento Kings,Pacific,Western
F,18,"Casspi, Omri",6 ft 9 in (2.06 m),225 lb (102 kg),1988-06-22,Israel,Sacramento Kings,Pacific,Western
C,0,"Cauley-Stein, Willie",7 ft 0 in (2.13 m),240 lb (109 kg),1993-08-18,Kentucky,Sacramento Kings,Pacific,Western
G,7,"Collison, Darren",6 ft 0 in (1.83 m),175 lb (79 kg),1987-08-23,UCLA,Sacramento Kings,Pacific,Western
C,15,"Cousins, DeMarcus (C / S)",6 ft 11 in (2.11 m),270 lb (122 kg),1990-08-13,Kentucky,Sacramento Kings,Pacific,Western
F,8,"Gay, Rudy",6 ft 8 in (2.03 m),230 lb (104 kg),1986-08-17,Connecticut,Sacramento Kings,Pacific,Western
C,41,"Koufos, Kosta",7 ft 0 in (2.13 m),265 lb (120 kg),1989-02-24,Ohio State,Sacramento Kings,Pacific,Western
F/C,3,"Labissière, Skal",6 ft 11 in (2.11 m),225 lb (102 kg),1996-03-18,Kentucky,Sacramento Kings,Pacific,Western
G,10,"Lawson, Ty",5 ft 11 in (1.80 m),195 lb (88 kg),1987-11-03,North Carolina,Sacramento Kings,Pacific,Western
G,23,"McLemore, Ben",6 ft 5 in (1.96 m),195 lb (88 kg),1993-02-11,Kansas,Sacramento Kings,Pacific,Western
C,13,"Papagiannis, Georgios",7 ft 1 in (2.16 m),240 lb (109 kg),1997-07-03,American School (GRE),Sacramento Kings,Pacific,Western
G,5,"Richardson, Malachi",6 ft 6 in (1.98 m),205 lb (93 kg),1996-01-05,Syracuse,Sacramento Kings,Pacific,Western
G,17,"Temple, Garrett",6 ft 6 in (1.98 m),195 lb (88 kg),1986-05-08,LSU,Sacramento Kings,Pacific,Western
F,43,"Tolliver, Anthony",6 ft 8 in (2.03 m),240 lb (109 kg),1985-06-01,Creighton,Sacramento Kings,Pacific,Western
